review_id,text,sentiment,cleaned_text
R000000,Five stars! This gadget exceeded my expectations. Very wonderful.,1,five star gadget exceeded expectation very wonderful
R000002,I absolutely love this device. solid quality and fast setup. Impressed with the packaging. amazing build and the shipping was quick.,1,absolutely love device solid quality fast setup impressed packaging amazing build shipping quick
R000003,One star. This tool is the worst I have owned. Do not recommend.,0,one star tool worst owned not recommend
R000004,One star. This gadget is the worst I have owned. Do not recommend. Worst purchase ever. This purchase is completely useless.,0,one star gadget worst owned not recommend worst purchase ever purchase completely useless
R000005,I hate this tool. It stopped working immediately. Total waste.,0,hate tool stopped working immediately total waste
R000006,Very poor quality product. The quality fell apart within a week.,0,very poor quality product quality fell apart within week
R000007,solid product. Exactly what I needed. Will buy again.,1,solid product exactly needed buy
R000008,So happy with this purchase. The purchase is solid and well made.,1,happy purchase purchase solid well made
R000009,Great device! The design is solid and it works perfectly. Amazing tool! Not a single complaint. The design is top notch.,1,great device design solid work perfectly amazing tool not single complaint design top notch
R000010,This is the best tool I have ever purchased. Highly recommend! Five stars! This device exceeded my expectations. Very amazing.,1,best tool ever purchased highly recommend five star device exceeded expectation very amazing
R000011,Impressed with the build. excellent build and the installation was quick. Five stars! This gadget exceeded my expectations. Very excellent.,1,impressed build excellent build installation quick five star gadget exceeded expectation very excellent
R000012,Perfect item for the price. fantastic value and excellent battery.,1,perfect item price fantastic value excellent battery
R000013,Amazing gadget! Not a single complaint. The packaging is top notch.,1,amazing gadget not single complaint packaging top notch
R000014,Very poor quality product. The material fell apart within a week. I hate this item. It stopped working immediately. Total waste.,0,very poor quality product material fell apart within week hate item stopped working immediately total waste
R000015,Perfect gadget for the price. fantastic value and excellent finish.,1,perfect gadget price fantastic value excellent finish
R000017,wonderful product. Exactly what I needed. Will buy again.,1,wonderful product exactly needed buy
R000018,Disappointing. The item does not match the description at all.,0,disappointing item not match description
R000019,I absolutely love this device. solid quality and fast installation. Five stars! This purchase exceeded my expectations. Very premium.,1,absolutely love device solid quality fast installation five star purchase exceeded expectation very premium
R000020,One star. This product is the worst I have owned. Do not recommend. Broken on arrival. The design was damaged and delivery took forever.,0,one star product worst owned not recommend broken arrival design damaged delivery took forever
R000022,My family loves this unit. The material is outstanding.,1,family love unit material outstanding
R000023,Perfect unit for the price. amazing value and excellent quality.,1,perfect unit price amazing value excellent quality
R000024,Impressed with the build. wonderful build and the setup was quick. Five stars! This product exceeded my expectations. Very great.,1,impressed build wonderful build setup quick five star product exceeded expectation very great
R000025,Broken on arrival. The screen was damaged and assembly took forever.,0,broken arrival screen damaged assembly took forever
R000026,Amazing accessory! Not a single complaint. The quality is top notch.,1,amazing accessory not single complaint quality top notch
R000028,So happy with this purchase. The device is solid and well made. I absolutely love this unit. wonderful quality and fast shipping.,1,happy purchase device solid well made absolutely love unit wonderful quality fast shipping
R000029,One star. This device is the worst I have owned. Do not recommend.,0,one star device worst owned not recommend
R000030,fantastic product. Exactly what I needed. Will buy again.,1,fantastic product exactly needed buy
R000031,Very poor quality tool. The material fell apart within a week.,0,very poor quality tool material fell apart within week
R000032,Impressed with the quality. superb build and the shipping was quick.,1,impressed quality superb build shipping quick
