review_id,text,sentiment
R000000,Five stars! This gadget exceeded my expectations. Very wonderful.,1
R000002,I absolutely love this device. solid quality and fast setup. Impressed with the packaging. amazing build and the shipping was quick.,1
R000003,One star. This tool is the worst I have owned. Do not recommend.,0
R000004,One star. This gadget is the worst I have owned. Do not recommend. Worst purchase ever. This purchase is completely useless.,0
R000005,I hate this tool. It stopped working immediately. Total waste.,0
R000006,Very poor quality product. The quality fell apart within a week.,0
R000007,solid product. Exactly what I needed. Will buy again.,1
R000008,So happy with this purchase. The purchase is solid and well made.,1
R000009,Great device! The design is solid and it works perfectly. Amazing tool! Not a single complaint. The design is top notch.,1
R000010,This is the best tool I have ever purchased. Highly recommend! Five stars! This device exceeded my expectations. Very amazing.,1
R000011,Impressed with the build. excellent build and the installation was quick. Five stars! This gadget exceeded my expectations. Very excellent.,1
R000012,Perfect item for the price. fantastic value and excellent battery.,1
R000013,Amazing gadget! Not a single complaint. The packaging is top notch.,1
R000014,Very poor quality product. The material fell apart within a week. I hate this item. It stopped working immediately. Total waste.,0
R000015,Perfect gadget for the price. fantastic value and excellent finish.,1
R000017,wonderful product. Exactly what I needed. Will buy again.,1
R000018,Disappointing. The item does not match the description at all.,0
R000019,I absolutely love this device. solid quality and fast installation. Five stars! This purchase exceeded my expectations. Very premium.,1
R000020,One star. This product is the worst I have owned. Do not recommend. Broken on arrival. The design was damaged and delivery took forever.,0
R000022,My family loves this unit. The material is outstanding.,1
R000023,Perfect unit for the price. amazing value and excellent quality.,1
R000024,Impressed with the build. wonderful build and the setup was quick. Five stars! This product exceeded my expectations. Very great.,1
R000025,Broken on arrival. The screen was damaged and assembly took forever.,0
R000026,Amazing accessory! Not a single complaint. The quality is top notch.,1
R000028,So happy with this purchase. The device is solid and well made. I absolutely love this unit. wonderful quality and fast shipping.,1
R000029,One star. This device is the worst I have owned. Do not recommend.,0
R000030,fantastic product. Exactly what I needed. Will buy again.,1
R000031,Very poor quality tool. The material fell apart within a week.,0
R000032,Impressed with the quality. superb build and the shipping was quick.,1
R000033,This is the best purchase I have ever purchased. Highly recommend! excellent product. Exactly what I needed. Will buy again.,1
R000034,Impressed with the build. amazing build and the assembly was quick. Five stars! This tool exceeded my expectations. Very solid.,1
R000035,solid product. Exactly what I needed. Will buy again.,1
R000037,Great item! The build is great and it works perfectly.,1
R000038,I absolutely love this product. wonderful quality and fast assembly.,1
R000039,My family loves this accessory. The material is outstanding. This is the best purchase I have ever purchased. Highly recommend!,1
R000040,This is the best accessory I have ever purchased. Highly recommend! So happy with this purchase. The purchase is premium and well made.,1
R000041,Five stars! This accessory exceeded my expectations. Very wonderful.,1
R000042,Broken on arrival. The battery was damaged and delivery took forever.,0
R000043,Not worth the money. This unit is cheaply made and useless.,0
R000044,So happy with this purchase. The purchase is premium and well made.,1
R000045,Amazing gadget! Not a single complaint. The material is top notch.,1
R000046,Do not buy this accessory. Poor quality and awful installation. Do not buy this accessory. Poor quality and awful setup.,0
R000047,Disappointing. The unit does not match the description at all. Disappointing. The product does not match the description at all.,0
R000048,I absolutely love this gadget. wonderful quality and fast assembly.,1
R000049,Perfect tool for the price. superb value and excellent battery. Five stars! This item exceeded my expectations. Very excellent.,1
R000050,My family loves this gadget. The material is outstanding. This is the best product I have ever purchased. Highly recommend!,1
R000052,Do not buy this purchase. Poor screen and awful assembly.,0
R000053,Impressed with the screen. amazing build and the installation was quick.,1
R000054,Impressed with the build. premium build and the delivery was quick.,1
R000055,One star. This tool is the worst I have owned. Do not recommend.,0
R000056,Perfect accessory for the price. premium value and excellent quality.,1
R000057,Disappointing. The unit does not match the description at all.,0
R000058,Very poor quality item. The material fell apart within a week. Broken on arrival. The material was damaged and setup took forever.,0
R000059,The screen is horrible. Returned this product right away.,0
R000060,This is the best product I have ever purchased. Highly recommend!,1
R000062,Great device! The design is great and it works perfectly. So happy with this purchase. The gadget is solid and well made.,1
R000063,The material is horrible. Returned this product right away.,0
R000064,Do not buy this product. Poor finish and awful assembly.,0
R000065,Disappointing. The item does not match the description at all.,0
R000066,The quality is horrible. Returned this device right away. One star. This tool is the worst I have owned. Do not recommend.,0
R000067,Five stars! This accessory exceeded my expectations. Very premium. So happy with this purchase. The tool is excellent and well made.,1
R000068,Five stars! This product exceeded my expectations. Very fantastic.,1
R000069,This is the best accessory I have ever purchased. Highly recommend!,1
R000070,Disappointing. The tool does not match the description at all.,0
R000071,Broken on arrival. The packaging was damaged and shipping took forever.,0
R000072,I absolutely love this gadget. great quality and fast setup.,1
R000074,This is the best accessory I have ever purchased. Highly recommend! My family loves this accessory. The material is outstanding.,1
R000075,amazing product. Exactly what I needed. Will buy again.,1
R000076,Five stars! This accessory exceeded my expectations. Very fantastic.,1
R000077,Perfect unit for the price. wonderful value and excellent material. My family loves this product. The finish is outstanding.,1
R000078,Disappointing. The product does not match the description at all.,0
R000079,My family loves this device. The finish is outstanding. This is the best unit I have ever purchased. Highly recommend!,1
R000080,So happy with this purchase. The item is wonderful and well made. This is the best accessory I have ever purchased. Highly recommend!,1
R000082,Great device! The packaging is amazing and it works perfectly. Great gadget! The screen is premium and it works perfectly.,1
R000083,Disappointing. The tool does not match the description at all.,0
R000084,Perfect tool for the price. wonderful value and excellent packaging.,1
R000085,The screen is horrible. Returned this product right away. The material is horrible. Returned this gadget right away.,0
R000086,This is the best product I have ever purchased. Highly recommend!,1
R000087,My family loves this device. The battery is outstanding.,1
R000088,The build is horrible. Returned this accessory right away.,0
R000089,Amazing unit! Not a single complaint. The packaging is top notch.,1
R000090,One star. This purchase is the worst I have owned. Do not recommend. Broken on arrival. The design was damaged and installation took forever.,0
R000091,My family loves this item. The quality is outstanding.,1
R000092,Not worth the money. This accessory is cheaply made and cheap. Disappointing. The purchase does not match the description at all.,0
R000093,I hate this unit. It stopped working immediately. Total waste.,0
R000094,Disappointing. The item does not match the description at all. One star. This gadget is the worst I have owned. Do not recommend.,0
R000095,Very poor quality device. The screen fell apart within a week.,0
R000096,Do not buy this product. Poor material and awful assembly.,0
R000100,My family loves this tool. The packaging is outstanding. Amazing gadget! Not a single complaint. The finish is top notch.,1
R000101,My family loves this purchase. The build is outstanding.,1
R000102,This is the best item I have ever purchased. Highly recommend! Great product! The design is superb and it works perfectly.,1
R000103,Terrible tool. The build broke after one day. Very disappointed. I hate this item. It stopped working immediately. Total waste.,0
