review_id,rating,title,text
R000000,4,Amazing Great,Five stars! This gadget exceeded my expectations. Very wonderful.
R000001,3,Okay Average,terrible product. Exactly what I needed. Will buy again.
R000002,5,Fantastic Amazing,I absolutely love this device. solid quality and fast setup. Impressed with the packaging. amazing build and the shipping was quick.
R000003,2,Awful Flimsy,One star. This tool is the worst I have owned. Do not recommend.
R000004,2,Defective Terrible,One star. This gadget is the worst I have owned. Do not recommend. Worst purchase ever. This purchase is completely useless.
R000005,2,Flimsy Awful,I hate this tool. It stopped working immediately. Total waste.
R000006,1,Broken Horrible,Very poor quality product. The quality fell apart within a week.
R000007,5,Great Amazing,solid product. Exactly what I needed. Will buy again.
R000008,5,Fantastic Great,So happy with this purchase. The purchase is solid and well made.
R000009,4,Solid Great,Great device! The design is solid and it works perfectly. Amazing tool! Not a single complaint. The design is top notch.
R000010,5,Excellent Superb,This is the best tool I have ever purchased. Highly recommend! Five stars! This device exceeded my expectations. Very amazing.
R000011,4,Excellent Premium,Impressed with the build. excellent build and the installation was quick. Five stars! This gadget exceeded my expectations. Very excellent.
R000012,4,Fantastic Premium,Perfect item for the price. fantastic value and excellent battery.
R000013,4,Premium Great,Amazing gadget! Not a single complaint. The packaging is top notch.
R000014,1,Awful Cheap,Very poor quality product. The material fell apart within a week. I hate this item. It stopped working immediately. Total waste.
R000015,5,Premium Solid,Perfect gadget for the price. fantastic value and excellent finish.
R000016,3,Okay Average,My family loves this unit. The packaging is outstanding. Terrible item. The packaging broke after one day. Very disappointed.
R000017,4,Solid Amazing,wonderful product. Exactly what I needed. Will buy again.
R000018,1,Flimsy Awful,Disappointing. The item does not match the description at all.
R000019,5,Great Solid,I absolutely love this device. solid quality and fast installation. Five stars! This purchase exceeded my expectations. Very premium.
R000020,1,Useless Defective,One star. This product is the worst I have owned. Do not recommend. Broken on arrival. The design was damaged and delivery took forever.
R000021,3,Okay Average,This is the best gadget I have ever purchased. Highly recommend!
R000022,4,Wonderful Fantastic,My family loves this unit. The material is outstanding.
R000023,5,Amazing Excellent,Perfect unit for the price. amazing value and excellent quality.
R000024,4,Fantastic Wonderful,Impressed with the build. wonderful build and the setup was quick. Five stars! This product exceeded my expectations. Very great.
R000025,1,Flimsy Cheap,Broken on arrival. The screen was damaged and assembly took forever.
R000026,5,Solid Premium,Amazing accessory! Not a single complaint. The quality is top notch.
